,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
0,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,Original,Bandai Visual,Sci-Fi,Sunrise,26.0,24 min per ep,R - 17+ (violence & profanity),8.81,405664.0,26.0,39.0,43460.0,Saturdays at 01:00 (JST),Spring,1998
2,Trigun,Trigun,トライガン,TV,Manga,Victor Entertainment,Sci-Fi,Madhouse,26.0,24 min per ep,PG-13 - Teens 13 or older,8.3,212537.0,255.0,146.0,10432.0,Thursdays at 01:15 (JST),Spring,1998
3,Witch Hunter Robin,Witch Hunter Robin,Witch Hunter ROBIN,TV,Original,Bandai Visual,Magic,Sunrise,26.0,25 min per ep,PG-13 - Teens 13 or older,7.33,32837.0,2371.0,1171.0,537.0,Tuesdays at Unknown,Summer,2002
4,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,TV,Manga,TV Tokyo,Supernatural,Toei Animation,52.0,23 min per ep,PG - Children,7.03,4894.0,3544.0,3704.0,14.0,Thursdays at 18:30 (JST),Fall,2004
5,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,Manga,Genco,Drama,J.C.Staff,24.0,23 min per ep,PG-13 - Teens 13 or older,8.12,57065.0,419.0,536.0,3752.0,Fridays at 00:35 (JST),Spring,2005
6,Hungry Heart: Wild Striker,Hungry Heart Wild Striker,ハングリーハート Wild Striker,TV,Manga,,Sports,Nippon Animation,52.0,23 min per ep,PG-13 - Teens 13 or older,7.67,9307.0,1186.0,3124.0,210.0,Wednesdays at Unknown,Fall,2002
7,Initial D Fourth Stage,Initial <Initial> d Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,TV,Manga,OB Planning,Cars,A.C.G.T.,24.0,27 min per ep,PG-13 - Teens 13 or older,8.23,42555.0,298.0,1262.0,635.0,Unknown,Spring,2004
8,Monster,Monster,モンスター,TV,Manga,VAP,Thriller,Madhouse,74.0,24 min per ep,R+ - Mild Nudity,8.69,131233.0,49.0,156.0,19188.0,Wednesdays at 00:40 (JST),Spring,2004
9,Naruto,Naruto,ナルト,TV,Manga,TV Tokyo,Super Power,Studio Pierrot,220.0,23 min per ep,PG-13 - Teens 13 or older,7.9,716412.0,705.0,10.0,39356.0,Thursdays at 19:30 (JST),Fall,2002
11,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,TV,Manga,Production I.G,Shounen,Trans Arts,178.0,22 min per ep,PG-13 - Teens 13 or older,8.0,50306.0,577.0,856.0,2885.0,Unknown,Fall,2001
12,Ring ni Kakero 1,Put on the ring 1,リングにかけろ１,TV,Manga,,Action,Toei Animation,12.0,25 min per ep,PG - Children,6.54,825.0,5641.0,6501.0,18.0,Unknown,Fall,2004
13,Sunabouzu,Desert Punk,砂ぼうず,TV,Manga,GDH,Ecchi,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.5,36185.0,1679.0,1049.0,673.0,Unknown,Fall,2004
14,Texhnolyze,Texhnolyze,TEXHNOLYZE,TV,Original,Group TAC,Action,Madhouse,22.0,23 min per ep,R+ - Mild Nudity,7.78,32198.0,942.0,690.0,2864.0,Thursdays at 03:28 (JST),Spring,2003
15,Trinity Blood,Trinity Blood,トリニティ・ブラッド,TV,Light novel,,Action,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.4,61471.0,2081.0,695.0,1403.0,Unknown,Spring,2005
16,Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,TV,Manga,TV Tokyo,Comedy,Sunrise,69.0,24 min per ep,PG-13 - Teens 13 or older,8.01,27616.0,566.0,1388.0,785.0,Unknown,Fall,2004
17,Zipang,Zipang,ジパング,TV,Manga,Marvelous,Sci-Fi,Studio Deen,26.0,24 min per ep,PG-13 - Teens 13 or older,7.54,4534.0,1564.0,3575.0,125.0,Unknown,Fall,2004
18,Neon Genesis Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,Original,TV Tokyo,Sci-Fi,Gainax,26.0,24 min per ep,PG-13 - Teens 13 or older,8.33,402215.0,215.0,50.0,45828.0,Wednesdays at 18:30 (JST),Fall,1995
21,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,Manga,VAP,Action,OLM,25.0,25 min per ep,R+ - Mild Nudity,8.47,166504.0,124.0,222.0,13782.0,Wednesdays at 01:45 (JST),Fall,1997
24,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,Manga,Aniplex,Historical,Studio Gallop,94.0,25 min per ep,PG-13 - Teens 13 or older,8.39,143693.0,182.0,265.0,9044.0,Wednesdays at 19:30 (JST),Winter,1996
27,.hack//Sign,.hack//Sign,.hack//SIGN,TV,Original,Bandai Visual,Magic,Bee Train,26.0,24 min per ep,PG-13 - Teens 13 or older,7.08,63557.0,3341.0,704.0,1229.0,Thursdays at Unknown,Spring,2002
28,Aa! Megami-sama! (TV),Ah! My Goddess,ああっ女神さまっ,TV,Manga,Bandai Visual,Magic,AIC,24.0,24 min per ep,PG-13 - Teens 13 or older,7.42,59169.0,1949.0,824.0,1035.0,Unknown,Winter,2005
