,Unnamed: 0.1,Unnamed: 0,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
0,0,0,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,Original,Bandai Visual,Sci-Fi,Sunrise,26.0,24 min per ep,R - 17+ (violence & profanity),8.81,405664.0,26.0,39.0,43460.0,Saturdays at 01:00 (JST),Spring,1998
1,1,2,Trigun,Trigun,トライガン,TV,Manga,Victor Entertainment,Sci-Fi,Madhouse,26.0,24 min per ep,PG-13 - Teens 13 or older,8.3,212537.0,255.0,146.0,10432.0,Thursdays at 01:15 (JST),Spring,1998
3,3,4,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,TV,Manga,TV Tokyo,Supernatural,Toei Animation,52.0,23 min per ep,PG - Children,7.03,4894.0,3544.0,3704.0,14.0,Thursdays at 18:30 (JST),Fall,2004
4,4,5,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,Manga,Genco,Drama,J.C.Staff,24.0,23 min per ep,PG-13 - Teens 13 or older,8.12,57065.0,419.0,536.0,3752.0,Fridays at 00:35 (JST),Spring,2005
8,9,11,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,TV,Manga,Production I.G,Shounen,Trans Arts,178.0,22 min per ep,PG-13 - Teens 13 or older,8.0,50306.0,577.0,856.0,2885.0,Unknown,Fall,2001
9,11,13,Sunabouzu,Desert Punk,砂ぼうず,TV,Manga,GDH,Ecchi,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.5,36185.0,1679.0,1049.0,673.0,Unknown,Fall,2004
10,12,14,Texhnolyze,Texhnolyze,TEXHNOLYZE,TV,Original,Group TAC,Action,Madhouse,22.0,23 min per ep,R+ - Mild Nudity,7.78,32198.0,942.0,690.0,2864.0,Thursdays at 03:28 (JST),Spring,2003
11,14,16,Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,TV,Manga,TV Tokyo,Comedy,Sunrise,69.0,24 min per ep,PG-13 - Teens 13 or older,8.01,27616.0,566.0,1388.0,785.0,Unknown,Fall,2004
12,15,17,Zipang,Zipang,ジパング,TV,Manga,Marvelous,Sci-Fi,Studio Deen,26.0,24 min per ep,PG-13 - Teens 13 or older,7.54,4534.0,1564.0,3575.0,125.0,Unknown,Fall,2004
13,16,18,Neon Genesis Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,Original,TV Tokyo,Sci-Fi,Gainax,26.0,24 min per ep,PG-13 - Teens 13 or older,8.33,402215.0,215.0,50.0,45828.0,Wednesdays at 18:30 (JST),Fall,1995
